,distance,coauthorship,title1,department1,duration1,title2,department2,duration2,is_same_title,is_same_department,duration_difference,Chair1,Fellow1,Head1,Lecturer1,Professional1,Professor1,Aerospace  Mechanical & Mechatronic Engineering1,Australian Centre for Field Robotics1,Chemical & Biomolecular Engineering1,Civil Engineering1,Electrical & Information Engineering1,Information Technologies1,Chair2,Fellow2,Head2,Lecturer2,Professional2,Professor2,Aerospace  Mechanical & Mechatronic Engineering2,Australian Centre for Field Robotics2,Chemical & Biomolecular Engineering2,Civil Engineering2,Electrical & Information Engineering2,Information Technologies2
0,0.344081887,25,Fellow,Civil Engineering,1091,Professor,Civil Engineering,1175,0,1,84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0.506936579,15,Fellow,Australian Centre for Field Robotics,2118,Fellow,Australian Centre for Field Robotics,3408,1,1,1290,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,0.652820559,31,Professor,Australian Centre for Field Robotics,6687,Fellow,Australian Centre for Field Robotics,3408,0,1,3279,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3,0.667356028,41,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,1,1,2495,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,0.675607872,8,Professor,Information Technologies,5781,Professor,Civil Engineering,1175,1,0,4606,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5,0.701469131,9,Fellow,Civil Engineering,1091,Professor,Information Technologies,5781,0,0,4690,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0.713546647,3,Fellow,Aerospace  Mechanical & Mechatronic Engineering,4382,Fellow,Aerospace  Mechanical & Mechatronic Engineering,3100,1,1,1282,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
7,0.745227537,44,Professor,Information Technologies,1765,Professor,Information Technologies,6687,1,1,4922,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
8,0.745956446,15,Professor,Aerospace  Mechanical & Mechatronic Engineering,4192,Fellow,Aerospace  Mechanical & Mechatronic Engineering,3758,0,1,434,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9,0.74975835,24,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Fellow,Aerospace  Mechanical & Mechatronic Engineering,3758,0,1,2929,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
10,0.768221345,29,Professor,Electrical & Information Engineering,6404,Chair,Electrical & Information Engineering,3233,0,1,3171,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
11,0.785957016,4,Fellow,Australian Centre for Field Robotics,2118,Fellow,Australian Centre for Field Robotics,1371,1,1,747,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12,0.791505181,24,Fellow,Civil Engineering,6687,Professor,Civil Engineering,3457,0,1,3230,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
13,0.814178807,14,Professor,Information Technologies,6543,Professor,Information Technologies,6243,1,1,300,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
14,0.825873767,16,Professor,Civil Engineering,3639,Professor,Civil Engineering,3457,1,1,182,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
15,0.828363592,16,Professor,Australian Centre for Field Robotics,6687,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
16,0.829718071,2,Fellow,Aerospace  Mechanical & Mechatronic Engineering,4382,Professor,Aerospace  Mechanical & Mechatronic Engineering,3646,0,1,736,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,0.830670631,4,Lecturer,Civil Engineering,1599,Lecturer,Civil Engineering,870,1,1,729,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,0.833719254,16,Professor,Aerospace  Mechanical & Mechatronic Engineering,6687,Professor,Australian Centre for Field Robotics,6666,1,0,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,0.837085708,26,Professor,Civil Engineering,4472,Lecturer,Civil Engineering,1599,0,1,2873,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
20,0.837536625,41,Fellow,Electrical & Information Engineering,6687,Lecturer,Electrical & Information Engineering,3100,0,1,3587,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
21,0.840943137,29,Professor,Information Technologies,6687,Professor,Information Technologies,6543,1,1,144,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
22,0.850871566,15,Professor,Australian Centre for Field Robotics,6687,Fellow,Australian Centre for Field Robotics,2118,0,1,4569,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
